epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1469,1.02102,5.74138,0.00557,0.00373,0.65591,0.24507,0.19178,0.5492,7.46388,0.00758,0.0003,0.0003,0.0003
2,17.9337,1.13114,4.66415,0.00642,0.00501,0.88889,0.30054,0.22932,0.77512,6.93662,0.01216,0.000606436,0.000606436,0.000606436
3,22.7558,1.18551,4.26975,0.0064,0.9124,0.10145,0.41886,0.29156,0.89326,6.70757,0.01353,0.000906685,0.000906685,0.000906685
4,27.4585,1.14275,3.73889,0.00641,0.81725,0.36827,0.49379,0.38068,0.91797,5.83171,0.01341,0.00120075,0.00120075,0.00120075
5,32.137,1.14922,3.20318,0.00621,0.82181,0.38571,0.48532,0.36586,0.9686,5.44413,0.01425,0.0012005,0.0012005,0.0012005
6,36.8303,1.14593,3.23229,0.00666,0.73762,0.41094,0.50392,0.35089,1.09866,4.93088,0.01872,0.00118812,0.00118812,0.00118812
7,41.6978,1.18544,2.76567,0.00652,0.80376,0.40286,0.49372,0.36809,1.00844,4.32485,0.01642,0.00117575,0.00117575,0.00117575
8,46.5671,1.17217,2.4518,0.00672,0.91411,0.51472,0.69447,0.49878,1.13214,3.60277,0.01793,0.00116337,0.00116337,0.00116337
9,51.2868,1.185,2.44747,0.00677,0.84458,0.48614,0.64145,0.44809,1.05946,3.64996,0.01578,0.001151,0.001151,0.001151
10,56.01,1.16499,2.19045,0.00654,0.83219,0.53076,0.70823,0.48231,1.01217,3.08802,0.01585,0.00113863,0.00113863,0.00113863
11,60.6046,1.08904,1.94968,0.00573,0.97147,0.53717,0.80188,0.54611,1.13827,2.57148,0.01774,0.00112625,0.00112625,0.00112625
12,65.2887,1.1146,1.84741,0.00635,0.80694,0.53707,0.73714,0.48029,1.18177,2.69947,0.01866,0.00111388,0.00111388,0.00111388
13,69.9805,1.07426,1.69649,0.00605,0.86454,0.5737,0.68812,0.4689,1.21375,2.25885,0.02117,0.0011015,0.0011015,0.0011015
14,74.5796,1.09733,1.56756,0.00632,0.8459,0.54269,0.72849,0.53236,0.98982,2.07828,0.01633,0.00108913,0.00108913,0.00108913
15,79.22,1.0701,1.46337,0.00607,0.89899,0.50268,0.70258,0.52202,1.20625,2.01041,0.02075,0.00107675,0.00107675,0.00107675
16,83.9699,1.06434,1.37602,0.00563,0.67166,0.66277,0.72959,0.5059,1.12163,1.96634,0.01784,0.00106437,0.00106437,0.00106437
17,88.6798,1.03221,1.34779,0.00563,0.94427,0.55956,0.79134,0.56348,1.0361,1.55843,0.01725,0.001052,0.001052,0.001052
18,93.5474,1.07501,1.22863,0.00575,0.9494,0.60215,0.76427,0.58166,0.94804,1.37859,0.01587,0.00103962,0.00103962,0.00103962
19,98.4503,1.04298,1.15867,0.00545,0.892,0.6129,0.70914,0.53554,0.9885,1.51086,0.01532,0.00102725,0.00102725,0.00102725
20,103.286,1.01825,1.08959,0.00538,0.8715,0.55914,0.74834,0.55851,0.94723,1.51368,0.01449,0.00101488,0.00101488,0.00101488
21,108.111,1.02326,1.10466,0.00566,0.86641,0.81443,0.83504,0.57621,1.03435,1.31491,0.01631,0.0010025,0.0010025,0.0010025
22,112.688,1.03769,1.0771,0.00587,0.88515,0.73208,0.79033,0.55023,1.05478,1.32612,0.01866,0.000990125,0.000990125,0.000990125
23,117.181,1.02647,0.9925,0.00554,0.63444,0.73477,0.75497,0.54293,1.01431,1.1872,0.01732,0.00097775,0.00097775,0.00097775
24,121.631,1.04039,0.97601,0.00556,0.84032,0.73461,0.76604,0.52454,0.96681,1.44939,0.01563,0.000965375,0.000965375,0.000965375
25,126.061,0.97609,0.9176,0.0056,0.81441,0.80992,0.83819,0.59892,1.06837,1.16078,0.01715,0.000953,0.000953,0.000953
26,130.502,1.01143,0.92166,0.00533,0.71629,0.79645,0.78938,0.56717,1.06499,1.21667,0.017,0.000940625,0.000940625,0.000940625
27,134.95,0.99945,0.89457,0.00551,0.93161,0.64481,0.76944,0.59901,0.90152,1.15861,0.01439,0.00092825,0.00092825,0.00092825
28,139.569,1.0071,0.88796,0.0056,0.6111,0.85663,0.84032,0.60322,0.945,1.12282,0.01538,0.000915875,0.000915875,0.000915875
29,144.04,1.01971,0.8291,0.00543,0.67534,0.82693,0.84282,0.6042,1.05753,1.03597,0.01733,0.0009035,0.0009035,0.0009035
30,148.515,0.98054,0.78914,0.00511,0.93733,0.81213,0.84292,0.57961,1.01824,1.00527,0.01594,0.000891125,0.000891125,0.000891125
31,152.955,0.96796,0.78,0.00514,0.83552,0.81411,0.85029,0.63198,0.97738,0.91457,0.01438,0.00087875,0.00087875,0.00087875
32,157.418,0.93425,0.78259,0.00528,0.86986,0.82318,0.85646,0.6118,0.94279,0.83315,0.0144,0.000866375,0.000866375,0.000866375
33,161.805,0.94926,0.76688,0.00516,0.90665,0.84588,0.85016,0.59457,1.02031,0.90409,0.01568,0.000854,0.000854,0.000854
34,166.262,0.91292,0.75588,0.00488,0.9194,0.83662,0.85298,0.62456,0.93449,0.899,0.01388,0.000841625,0.000841625,0.000841625
35,170.704,0.89576,0.73185,0.00476,0.88967,0.80024,0.84941,0.60134,0.9803,0.89968,0.01539,0.00082925,0.00082925,0.00082925
36,175.161,0.93847,0.69765,0.00477,0.97553,0.83267,0.85532,0.58699,1.00567,0.86407,0.01603,0.000816875,0.000816875,0.000816875
37,179.609,0.93972,0.74124,0.00505,0.91743,0.82096,0.84303,0.56785,1.01352,0.89731,0.01575,0.0008045,0.0008045,0.0008045
38,184.036,0.95379,0.71204,0.00518,0.85475,0.82236,0.84144,0.61474,0.94615,0.87931,0.01512,0.000792125,0.000792125,0.000792125
39,188.454,0.93677,0.70457,0.00499,0.89169,0.77233,0.83045,0.60419,0.99713,0.99763,0.01482,0.00077975,0.00077975,0.00077975
40,192.923,0.94045,0.68856,0.00484,0.89913,0.77762,0.81938,0.55612,1.01336,1.08359,0.01666,0.000767375,0.000767375,0.000767375
41,197.485,0.88633,0.6455,0.00481,0.86661,0.79653,0.82518,0.53918,1.05631,0.89954,0.01896,0.000755,0.000755,0.000755
42,202.022,0.90276,0.6234,0.00481,0.83357,0.84105,0.84064,0.58619,1.0106,0.81739,0.01627,0.000742625,0.000742625,0.000742625
43,206.492,0.93082,0.66138,0.00488,0.92023,0.79549,0.84307,0.59131,0.94613,0.89356,0.01498,0.00073025,0.00073025,0.00073025
44,210.993,0.87989,0.63516,0.00479,0.91655,0.74162,0.8435,0.60387,0.89921,0.93728,0.01345,0.000717875,0.000717875,0.000717875
45,215.5,0.88926,0.62918,0.00471,0.92358,0.76578,0.84739,0.6285,0.83073,0.78925,0.01311,0.0007055,0.0007055,0.0007055
46,220.006,0.87942,0.61713,0.0047,0.91179,0.8129,0.83942,0.62053,0.89119,0.81997,0.01543,0.000693125,0.000693125,0.000693125
47,224.507,0.88197,0.60184,0.00467,0.83796,0.74928,0.81883,0.58009,0.85876,1.00965,0.01406,0.00068075,0.00068075,0.00068075
48,229.049,0.89333,0.61908,0.00451,0.95425,0.74219,0.84124,0.58535,0.97238,0.80353,0.01612,0.000668375,0.000668375,0.000668375
49,233.578,0.85491,0.5908,0.00462,0.90371,0.81174,0.84909,0.61298,0.99026,0.6887,0.01622,0.000656,0.000656,0.000656
50,238.093,0.83561,0.58999,0.00453,0.83495,0.82629,0.80481,0.59986,0.90386,0.88887,0.01439,0.000643625,0.000643625,0.000643625
51,242.652,0.85599,0.59385,0.00439,0.75404,0.64407,0.77415,0.54927,0.98771,0.91907,0.01705,0.00063125,0.00063125,0.00063125
52,247.26,0.86206,0.60211,0.00451,0.90086,0.72027,0.78011,0.57527,0.83967,0.85888,0.01404,0.000618875,0.000618875,0.000618875
53,251.797,0.82696,0.59018,0.00425,0.72249,0.80494,0.80178,0.601,0.87793,0.81314,0.01516,0.0006065,0.0006065,0.0006065
54,256.427,0.82091,0.55231,0.00432,0.76489,0.81536,0.80673,0.61915,0.8406,0.74939,0.01401,0.000594125,0.000594125,0.000594125
55,260.976,0.81806,0.55819,0.00443,0.70317,0.84588,0.78811,0.60953,0.82819,0.71758,0.01288,0.00058175,0.00058175,0.00058175
56,265.552,0.79853,0.54003,0.00426,0.92384,0.66657,0.78272,0.58434,0.89292,0.85293,0.013,0.000569375,0.000569375,0.000569375
57,270.072,0.83783,0.57509,0.00455,0.93099,0.70295,0.78588,0.61193,0.83029,0.74438,0.01243,0.000557,0.000557,0.000557
58,274.618,0.83777,0.56003,0.00429,0.97245,0.8176,0.855,0.64103,0.81166,0.64578,0.012,0.000544625,0.000544625,0.000544625
59,279.19,0.81814,0.52729,0.00418,0.9422,0.84479,0.85159,0.64278,0.80174,0.64362,0.01142,0.00053225,0.00053225,0.00053225
60,283.791,0.79695,0.50728,0.004,0.92433,0.79653,0.85268,0.65341,0.76255,0.6855,0.0115,0.000519875,0.000519875,0.000519875
61,288.339,0.80636,0.51723,0.00415,0.92847,0.72767,0.81009,0.62928,0.79728,0.69235,0.01205,0.0005075,0.0005075,0.0005075
62,292.879,0.8208,0.53282,0.00424,0.8056,0.848,0.82062,0.65802,0.75104,0.64907,0.01115,0.000495125,0.000495125,0.000495125
63,297.514,0.79284,0.5014,0.00429,0.95546,0.79387,0.85076,0.64882,0.76889,0.64652,0.01164,0.00048275,0.00048275,0.00048275
64,302.174,0.80713,0.53073,0.00404,0.91618,0.81689,0.84821,0.61977,0.79673,0.6736,0.01224,0.000470375,0.000470375,0.000470375
65,306.73,0.79664,0.51929,0.00403,0.96292,0.79342,0.84818,0.64523,0.80683,0.70691,0.01273,0.000458,0.000458,0.000458
66,311.369,0.82123,0.52375,0.00384,0.92292,0.84359,0.8522,0.62751,0.80618,0.69131,0.01305,0.000445625,0.000445625,0.000445625
67,315.914,0.78977,0.50726,0.0039,0.91699,0.82426,0.8533,0.65648,0.82485,0.66196,0.01251,0.00043325,0.00043325,0.00043325
68,320.67,0.76898,0.48456,0.0041,0.95664,0.79828,0.85274,0.66028,0.79614,0.65849,0.01239,0.000420875,0.000420875,0.000420875
69,325.366,0.79152,0.51771,0.00408,0.95824,0.83149,0.85386,0.65713,0.82143,0.63329,0.0131,0.0004085,0.0004085,0.0004085
70,329.856,0.77076,0.48993,0.00403,0.97829,0.84588,0.85403,0.64957,0.79333,0.6565,0.01189,0.000396125,0.000396125,0.000396125
71,334.332,0.75772,0.47881,0.00399,0.97398,0.8453,0.855,0.66176,0.76197,0.64218,0.01155,0.00038375,0.00038375,0.00038375
